LANDING_YEAR,PACFIN_SPECIES_CODE,PACFIN_SPECIES_COMMON_NAME,FIRST_QTR_LANDED_WEIGHT_MTONS,FIRST_QTR_EXVESSEL_REVENUE,FIRST_QTR_LANDED_PPP,FIRST_QTR_NUMBER_OF_VESSELS,FIRST_QTR_NUMBER_OF_DEALERS,FIRST_QTR_CONFIDENTIAL_FLAG,SECOND_QTR_LANDED_WEIGHT_MTONS,SECOND_QTR_EXVESSEL_REVENUE,SECOND_QTR_LANDED_PPP,SECOND_QTR_NUMBER_OF_VESSELS,SECOND_QTR_NUMBER_OF_DEALERS,SECOND_QTR_CONFIDENTIAL_FLAG,THIRD_QTR_LANDED_WEIGHT_MTONS,THIRD_QTR_EXVESSEL_REVENUE,THIRD_QTR_LANDED_PPP,THIRD_QTR_NUMBER_OF_VESSELS,THIRD_QTR_NUMBER_OF_DEALERS,THIRD_QTR_CONFIDENTIAL_FLAG,FOURTH_QTR_LANDED_WEIGHT_MTONS,FOURTH_QTR_EXVESSEL_REVENUE,FOURTH_QTR_LANDED_PPP,FOURTH_QTR_NUMBER_OF_VESSELS,FOURTH_QTR_NUMBER_OF_DEALERS,FOURTH_QTR_CONFIDENTIAL_FLAG
1989,MSQD,MARKET SQUID,14855.45,3126417.29,0.1,51,26, ,5315.85,1132947.11,0.1,46,30, ,2781.61,645992.85,0.11,37,24, ,18022.21,2608907.77,0.07,73,41, 
1989,NANC,NORTHERN ANCHOVY,88.15,14793.57,0.08,11,11, ,833.04,190290.26,0.1,19,18, ,1156.78,370952.51,0.15,17,17, ,433.2,121558.01,0.13,16,16, 
1989,PSDN,PACIFIC SARDINE,626.11,171109.47,0.12,35,22, ,92.39,10208.12,0.05,8,5, ,18.2,2205.2,0.05,8,7, ,100,11639.04,0.05,4,3, 
1989,UMCK,UNSP. MACKEREL,6277.85,990040.85,0.07,52,35, ,4029.97,578989.1,0.07,102,49, ,11202.62,1480494.33,0.06,190,66, ,5085.78,647277.45,0.06,73,41, 
1990,CMCK,CHUB MACKEREL,3146.13,392129.52,0.06,74,29, ,4273.81,603604.31,0.06,95,42, ,17234.86,2300779.63,0.06,294,72, ,6379.4,872803.48,0.06,104,47, 
1990,JMCK,JACK MACKEREL,1048.71,131549.11,0.06,24,10, ,458.87,63678.28,0.06,43,21, ,1120.62,151268.53,0.06,80,24, ,626.12,96198.35,0.07,26,14, 
1990,MSQD,MARKET SQUID,3865.76,491224.05,0.06,37,20, ,3683.86,604338.58,0.07,30,18, ,2445.44,470972.35,0.09,39,32, ,18451.73,3163350.09,0.08,66,37, 
1990,NANC,NORTHERN ANCHOVY,183.6,21266.37,0.05,8,8, ,1569.67,281630.04,0.08,21,18, ,1365.69,275316.49,0.09,20,18, ,139.66,47014.96,0.15,9,8, 
1990,PSDN,PACIFIC SARDINE,1292.72,147654.1,0.05,31,14, ,159.11,20484.53,0.06,25,14, ,145.09,14890.69,0.05,27,14, ,67.31,7553.48,0.05,19,9, 
1990,UMCK,UNSP. MACKEREL,4862.44,602140.87,0.06,49,27, ,494.86,71817.95,0.07,105,46, ,2724.89,371577.34,0.06,216,75, ,956.93,139450.8,0.07,55,35, 
1991,CMCK,CHUB MACKEREL,6485.3,885037.79,0.06,76,34, ,7292.22,988550.59,0.06,97,40, ,8756.04,2156012.41,0.11,130,52, ,9193.92,1229832.8,0.06,77,34, 
1991,JMCK,JACK MACKEREL,1089.25,140081.33,0.06,21,8, ,114.39,24995.43,0.1,17,11, ,65.27,12431.2,0.09,20,14, ,443.22,71146.2,0.07,23,17, 
1991,MSQD,MARKET SQUID,4877.29,846756.4,0.08,36,21, ,51.55,32323.35,0.28,7,6, ,7358.54,1765093.61,0.11,34,25, ,25100.9,3428151,0.06,65,30, 
1991,NANC,NORTHERN ANCHOVY,130.85,64928.43,0.23,9,8, ,2605.04,295350.87,0.05,29,23, ,1041.6,230100.28,0.1,20,13, ,290.75,60930.63,0.1,12,8, 
1991,PSDN,PACIFIC SARDINE,4434.73,508453.06,0.05,36,15, ,522.1,56365.43,0.05,23,13, ,934.8,105127.16,0.05,19,13, ,1695.68,223009.55,0.06,30,11, 
1991,UMCK,UNSP. MACKEREL,101.27,15476.54,0.07,19,16, ,24.06,10933.71,0.21,37,27, ,144.3,36741.01,0.12,69,38, ,69.1,18463.86,0.12,25,23, 
1992,CMCK,CHUB MACKEREL,6148.47,727117.69,0.05,84,50, ,2466.36,1819845,0.33,332,98, ,8364.92,1190311.27,0.06,215,75, ,2056.23,265245.02,0.06,97,48, 
1992,JMCK,JACK MACKEREL,447.55,54606.89,0.06,30,14, ,409.01,65502.63,0.07,34,22, ,391.79,85086.57,0.1,39,20, ,277.51,33649.75,0.06,39,16, 
1992,MSQD,MARKET SQUID,2566.25,324026.99,0.06,22,17, ,1343.42,238949.47,0.08,33,22, ,6274.39,1281207.62,0.09,44,26, ,2934.35,601953.82,0.09,58,27, 
1992,NANC,NORTHERN ANCHOVY,124.52,20001.37,0.07,10,7, ,545.63,89545.2,0.07,23,16, ,332.54,66053.11,0.09,14,13, ,162.88,48137.44,0.13,11,13, 
1992,PSDN,PACIFIC SARDINE,4682.33,459796.02,0.04,37,15, ,1657.57,256461.43,0.07,30,19, ,1101.35,106499.25,0.04,33,18, ,10614.44,1052602.61,0.04,44,19, 
1992,UMCK,UNSP. MACKEREL,0.51,215,0.19,3,3, ,0.85,488.08,0.26,15,11, ,6.74,3178.13,0.21,17,12, ,0.26,246.05,0.43,6,5, 
1993,CMCK,CHUB MACKEREL,5835.61,674789.37,0.05,82,50, ,1862.91,243087.06,0.06,112,56, ,2532.02,324092.13,0.06,183,77, ,1867.9,260668.61,0.06,95,58, 
