"time","trend_number","estimate","lower","upper"
1985,"Trend 1",0.0170204302430241,-0.324154594313882,0.332326114607871
1986,"Trend 1",-0.0102927604643656,-0.340838050407059,0.300269541569731
1987,"Trend 1",-0.032548453612772,-0.356568955313067,0.273078510838592
1988,"Trend 1",-0.0442823079143581,-0.359569117375605,0.259436061225025
1989,"Trend 1",-0.0442568597045202,-0.350600243658564,0.252455037444719
1990,"Trend 1",-0.0347360900893416,-0.330253018124703,0.253823446517782
1991,"Trend 1",-0.0151281169867605,-0.301783352301878,0.262349116229419
1992,"Trend 1",0.0164722813792112,-0.267082728216676,0.287284874937636
1993,"Trend 1",0.0550787539891108,-0.229069488880704,0.322601700073309
1994,"Trend 1",0.0904199660401928,-0.203846967145392,0.355457931602847
1995,"Trend 1",0.117830250812298,-0.175847708543299,0.375636102504303
1996,"Trend 1",0.141422556062073,-0.147592797661035,0.393749377749437
1997,"Trend 1",0.166502969704619,-0.120604594088476,0.414468561998426
1998,"Trend 1",0.193434547663826,-0.0905643643912385,0.434028139000671
1999,"Trend 1",0.218705399804454,-0.0571937205972862,0.452261989978984
2000,"Trend 1",0.239275059779747,-0.020689648738287,0.462850535970624
2001,"Trend 1",0.255492276184586,0.0182832831649873,0.46607585795842
2002,"Trend 1",0.270246548219646,0.0606226211576877,0.46558159796527
2003,"Trend 1",0.286505203460189,0.10488759017692,0.468801461275643
2004,"Trend 1",0.306905317430795,0.146914487420558,0.481405049757121
2005,"Trend 1",0.332555593558264,0.16850671384843,0.500520126997709
2006,"Trend 1",0.35787405571208,0.161088856769994,0.540060452788994
2007,"Trend 1",0.368880397754542,0.140484670732857,0.572221857270166
2008,"Trend 1",0.351014221875436,0.0984239956648355,0.578232380753524
2009,"Trend 1",0.297506746255493,0.0287862295842154,0.546408258472345
2010,"Trend 1",0.209129122488544,-0.0638824345026022,0.483551938212854
2011,"Trend 1",0.0903117977155271,-0.188588164560218,0.389885678626395
2012,"Trend 1",-0.0516351142376654,-0.333288509956038,0.280447636942277
2013,"Trend 1",-0.205645072217012,-0.499746164379108,0.15939855924987
2014,"Trend 1",-0.356691309929528,-0.671521284800718,0.0423509773606761
2015,"Trend 1",-0.487650183970602,-0.827714605188165,-0.0596293519777047
2016,"Trend 1",-0.584999114047423,-0.951119977792902,-0.124928223706093
2017,"Trend 1",-0.643800501435195,-1.04647915941501,-0.139882333143486
2018,"Trend 1",-0.666084374814267,-1.1061487336637,-0.122566345338353
2019,"Trend 1",-0.658304857313432,-1.13759225596502,-0.0729005146232495
2020,"Trend 1",-0.633224920535209,-1.15119331504014,-0.00935046041737908
1985,"Trend 2",0.195731807402011,-0.0340019269607483,0.444983758583533
1986,"Trend 2",0.215601056874694,-0.00131794987107565,0.439642017155967
1987,"Trend 2",0.229215057403883,0.0129110373968005,0.438229017765715
1988,"Trend 2",0.23364305560756,0.0231340613148063,0.435217706270326
1989,"Trend 2",0.229679144226571,0.0301913337890972,0.419006106998077
1990,"Trend 2",0.219572558271742,0.0392652153172026,0.394606268589283
1991,"Trend 2",0.206662058773968,0.0528406649267445,0.367217606712375
1992,"Trend 2",0.194972273314458,0.0640052426435607,0.348061796670125
1993,"Trend 2",0.186807356898876,0.0366866459575472,0.362292883861458
1994,"Trend 2",0.181581037362289,-0.00392943263125773,0.386953297189565
1995,"Trend 2",0.177168921384123,-0.0407228536444595,0.415367484039347
1996,"Trend 2",0.171371225014111,-0.0722624819468861,0.434001266048263
1997,"Trend 2",0.162733847058371,-0.103946855394705,0.450318538913252
1998,"Trend 2",0.150946664869792,-0.138003167959588,0.465182833282468
1999,"Trend 2",0.135960979545884,-0.168064048569668,0.473148588099665
2000,"Trend 2",0.116820552344792,-0.20027259538764,0.471158790290681
2001,"Trend 2",0.0922468169917724,-0.241807627724807,0.464542864042641
2002,"Trend 2",0.061934368032984,-0.287486682478657,0.45436300191283
2003,"Trend 2",0.0266051207378751,-0.336222132228567,0.438903939700773
2004,"Trend 2",-0.0125725621093715,-0.388684566419158,0.420694850896932
2005,"Trend 2",-0.0542049710543502,-0.447724690308815,0.412649575851446
2006,"Trend 2",-0.0964488644744293,-0.509364297505888,0.403339443077303
2007,"Trend 2",-0.13628087064846,-0.551222838458492,0.378001412389812
2008,"Trend 2",-0.169718679924964,-0.561886570507852,0.325865408586838
2009,"Trend 2",-0.194285224690562,-0.542003239180697,0.243355130279067
2010,"Trend 2",-0.210545668485193,-0.49018675422704,0.133042049444396
2011,"Trend 2",-0.219987017831427,-0.41767332011169,0.00113854174272479
2012,"Trend 2",-0.223254971111193,-0.40221005344363,-0.0591016647288994
2013,"Trend 2",-0.22182190374743,-0.536017128550456,0.0755641061759016
2014,"Trend 2",-0.218963226031335,-0.680742837895435,0.209028032663844
2015,"Trend 2",-0.21823102555167,-0.81674601938736,0.327907494895427
2016,"Trend 2",-0.2231325276284,-0.935708003187224,0.412751375063821
2017,"Trend 2",-0.236756151705032,-1.02041788275054,0.461872469803761
2018,"Trend 2",-0.258124661038101,-1.08517210235997,0.483718751069489
2019,"Trend 2",-0.281494959494801,-1.12257550486528,0.481434702974904
2020,"Trend 2",-0.303037174102726,-1.1457085374159,0.471478563184654
